year,subject,drg,total_numberwith_scored_tests,weight,average_score
2015-16,ELA,A,1609.0,968851.0,602.144810441
2015-16,ELA,B,5937.0,3401549.0,572.940710797
2015-16,ELA,C,2124.0,1189849.0,560.192561205
2015-16,ELA,D,4464.0,2384534.0,534.169802867
2015-16,ELA,E,1233.0,661508.0,536.502838605
2015-16,ELA,F,778.0,396282.0,509.359897172
2015-16,ELA,G,3148.0,1591720.0,505.628970775
2015-16,ELA,H,3752.0,1820391.0,485.178837953
2015-16,ELA,I,4889.0,2182723.0,446.455921456
2015-16,Math,A,1609.0,965828.0,600.266003729
2015-16,Math,B,5917.0,3343376.0,565.045800237
2015-16,Math,C,2123.0,1150011.0,541.691474329
2015-16,Math,D,4250.0,2190870.0,515.498823529
2015-16,Math,E,1232.0,635501.0,515.828733766
2015-16,Math,F,778.0,383670.0,493.149100257
2015-16,Math,G,3145.0,1511660.0,480.655007949
2015-16,Math,H,3750.0,1748915.0,466.377333333
2015-16,Math,I,4882.0,2077577.0,425.558582548
